시도,시군구,지점명,주소,lng,lat,브랜드
부산광역시,해운대구,부산반여점,부산 해운대구 반여1동 1629-4,129.1234207,35.2002911,피자헛
부산광역시,중구,부산보수점,부산 중구 보수동3가 72-3,129.0228525,35.1034132,피자헛
부산광역시,부산진구,부산부암점,부산 부산진구 부암동 80-50,129.0527562,35.1651917,피자헛
부산광역시,부산진구,부산서면2호점,부산 부산진구 부전동 175,129.0614383,35.1551405,피자헛
부산광역시,해운대구,부산센텀점,부산 해운대구 우동 1506,129.1334535,35.167133,피자헛
부산광역시,연제구,부산연산점,부산 연제구 거제동 1470-14,129.0808343,35.1924802,피자헛
부산광역시,영도구,부산영도점,부산 영도구 동삼동 232-1 일동미라주브라이튼 상가 106호,129.0705469,35.0821941,피자헛
부산광역시,동래구,부산온천점,부산 동래구 온천1동 154-12,129.0836072,35.2195444,피자헛
부산광역시,남구,부산용호3호점,부산 남구 용호1동 369-8,129.1120401,35.1213663,피자헛
부산광역시,기장군,부산정관점,부산 기장군 정관면 매학리 748-6,129.1790749,35.3207406,피자헛
부산광역시,동구,부산진역점,부산 동구 수정동 1-61,129.0488207,35.1291911,피자헛
부산광역시,사상구,부산학장점,부산 사상구 학장동 272-3,128.9877019,35.1480005,피자헛
부산광역시,북구,부산화명3호점,부산 북구 화명동 182-5,129.0130743,35.245234,피자헛
부산광역시,해운대구,신해운대점,부산 해운대구 좌동 1327-5,129.1825932,35.1686702,피자헛
부산광역시,해운대구,마린시티점,부산광역시 해운대구 우동 1434번지,129.1475905,35.157827,피자스쿨
부산광역시,남구,문현점,부산광역시 남구 문현동 98,129.0768648,35.143645,피자스쿨
부산광역시,남구,부경대점,부산광역시 남구 대연동 364-15,129.0984337,35.1341939,피자스쿨
부산광역시,부산진구,부산가야점,부산광역시 부산진구 가야동 386,129.0389736,35.1537792,피자스쿨
부산광역시,연제구,부산거제점,부산광역시 부산시 연제구 거제천로87번길 35,129.071388,35.182775,피자스쿨
부산광역시,수영구,부산광안점,부산광역시 수영구 광안동 496-23,129.1115576,35.1621612,피자스쿨
부산광역시,북구,부산구포3동점,부산광역시 북구 구포동 1261-32 ,129.0064954,35.1974349,피자스쿨
