city,district,cost,count,citycode,citycode_mod,population,sales,brand,area,pizzaschool,domino,pizzahut,mrpizza,EarningRatio
경기도,파주시,143030000,9,41480,41,453366.0,140704666.66666666,pizzaschool,경기도 파주시,True,False,False,False,0.984
경기도,이천시,135440000,6,41500,41,214814.0,140704666.66666666,pizzaschool,경기도 이천시,True,False,False,False,1.039
경기도,평택시,134119999,11,41220,41,500787.0,140704666.66666666,pizzaschool,경기도 평택시,True,False,False,False,1.049
경기도,포천시,119269999,2,41650,41,149603.0,140704666.66666666,pizzaschool,경기도 포천시,True,False,False,False,1.18
경기도,화성시,168440000,15,41590,41,781507.0,140704666.66666666,pizzaschool,경기도 화성시,True,False,False,False,0.835
경기도,양주시,129500000,5,41630,41,219789.0,140704666.66666666,pizzaschool,경기도 양주시,True,False,False,False,1.087
경기도,의정부시,148309999,9,41150,41,450332.0,140704666.66666666,pizzaschool,경기도 의정부시,True,False,False,False,0.949
경기도,안양시,218269999,13,41171,41,573296.0,140704666.66666666,pizzaschool,경기도 안양시,True,False,False,False,0.645
경기도,하남시,251270000,1,41450,41,262261.0,140704666.66666666,pizzaschool,경기도 하남시,True,False,False,False,0.56
경기도,안산시,160850000,12,41271,41,657988.0,140704666.66666666,pizzaschool,경기도 안산시,True,False,False,False,0.875
경기도,안성시,116630000,3,41550,41,183665.0,140704666.66666666,pizzaschool,경기도 안성시,True,False,False,False,1.206
경기도,가평군,117290000,2,41820,41,62740.0,140704666.66666666,pizzaschool,경기도 가평군,True,False,False,False,1.2
경기도,고양시,172400000,22,41281,41,1045533.0,140704666.66666666,pizzaschool,경기도 고양시,True,False,False,False,0.816
경기도,과천시,456530000,0,41290,41,58218.0,140704666.66666666,pizzaschool,경기도 과천시,True,False,False,False,0.308
경기도,광주시,149630000,6,41610,41,366092.0,140704666.66666666,pizzaschool,경기도 광주시,True,False,False,False,0.94
경기도,구리시,208369999,5,41310,41,201952.0,140704666.66666666,pizzaschool,경기도 구리시,True,False,False,False,0.675
경기도,군포시,179990000,7,41410,41,275207.0,140704666.66666666,pizzaschool,경기도 군포시,True,False,False,False,0.782
경기도,광명시,243350000,6,41210,41,323527.0,140704666.66666666,pizzaschool,경기도 광명시,True,False,False,False,0.578
경기도,남양주시,156230000,16,41360,41,687575.0,140704666.66666666,pizzaschool,경기도 남양주시,True,False,False,False,0.901
경기도,동두천시,116960000,2,41250,41,95375.0,140704666.66666666,pizzaschool,경기도 동두천시,True,False,False,False,1.203
경기도,부천시,178670000,14,41190,41,837937.0,140704666.66666666,pizzaschool,경기도 부천시,True,False,False,False,0.788
경기도,성남시,283610000,20,41131,41,949316.0,140704666.66666666,pizzaschool,경기도 성남시,True,False,False,False,0.496
경기도,수원시,178010000,29,41111,41,1198461.0,140704666.66666666,pizzaschool,경기도 수원시,True,False,False,False,0.79
경기도,시흥시,151609999,9,41390,41,459601.0,140704666.66666666,pizzaschool,경기도 시흥시,True,False,False,False,0.928
경기도,김포시,162170000,7,41570,41,429752.0,140704666.66666666,pizzaschool,경기도 김포시,True,False,False,False,0.868
경상남도,창원시,140719999,3,48121,48,1049897.0,143141000.0,pizzaschool,경상남도 창원시,True,False,False,False,1.017
경상남도,남해군,99470000,0,48840,48,44163.0,143141000.0,pizzaschool,경상남도 남해군,True,False,False,False,1.439
경상남도,합천군,94190000,1,48890,48,45679.0,143141000.0,pizzaschool,경상남도 합천군,True,False,False,False,1.52
경상남도,함양군,115969999,1,48870,48,39922.0,143141000.0,pizzaschool,경상남도 함양군,True,False,False,False,1.234
경상남도,하동군,103300000,1,48850,48,47056.0,143141000.0,pizzaschool,경상남도 하동군,True,False,False,False,1.386
경상남도,통영시,119600000,1,48220,48,132676.0,143141000.0,pizzaschool,경상남도 통영시,True,False,False,False,1.197
경상남도,창녕군,93200000,1,48740,48,62860.0,143141000.0,pizzaschool,경상남도 창녕군,True,False,False,False,1.536
경상남도,양산시,131809999,4,48330,48,349925.0,143141000.0,pizzaschool,경상남도 양산시,True,False,False,False,1.086
경상남도,산청군,117400000,1,48860,48,35713.0,143141000.0,pizzaschool,경상남도 산청군,True,False,False,False,1.219
경상남도,사천시,115969999,1,48240,48,112975.0,143141000.0,pizzaschool,경상남도 사천시,True,False,False,False,1.234
경상남도,밀양시,121580000,0,48270,48,106240.0,143141000.0,pizzaschool,경상남도 밀양시,True,False,False,False,1.177
경상남도,김해시,130819999,7,48250,48,536707.0,143141000.0,pizzaschool,경상남도 김해시,True,False,False,False,1.094
경상남도,거창군,112010000,1,48880,48,62676.0,143141000.0,pizzaschool,경상남도 거창군,True,False,False,False,1.278
경상남도,거제시,122900000,0,48310,48,248856.0,143141000.0,pizzaschool,경상남도 거제시,True,False,False,False,1.165
경상남도,함안군,99470000,0,48730,48,66406.0,143141000.0,pizzaschool,경상남도 함안군,True,False,False,False,1.439
경상남도,진주시,131150000,5,48170,48,346678.0,143141000.0,pizzaschool,경상남도 진주시,True,False,False,False,1.091
경상북도,영천시,105080000,1,47230,47,101360.0,121066000.0,pizzaschool,경상북도 영천시,True,False,False,False,1.152
경상북도,포항시,119930000,2,47111,47,509064.0,121066000.0,pizzaschool,경상북도 포항시,True,False,False,False,1.009
경상북도,칠곡군,103760000,0,47850,47,118389.0,121066000.0,pizzaschool,경상북도 칠곡군,True,False,False,False,1.167
