store,address,city,district,lat,lng,population,city_district
고강원종점,경기도 부천시 오정구 역곡로 448 (고강동),경기도,부천시,37.52444600000001,126.815729,837937,경기도부천시
부천심곡점,경기도 부천시 소사구 경인로 181 (심곡본동),경기도,부천시,37.484095,126.775473,837937,경기도부천시
부천약대점,"경기도 부천시 원미구 도약로 213, 1층 (약대동)",경기도,부천시,37.510496,126.773298,837937,경기도부천시
부천옥길점,경기도 부천시 양지로 125 예품빌딩 1층,경기도,부천시,37.4717638,126.8169011,837937,경기도부천시
부천점,경기도 부천시 원미구 상일로 157 (상동),경기도,부천시,37.490803,126.759951,837937,경기도부천시
상동점,경기도 부천시 원미구 상이로39번길 7-7 (상동),경기도,부천시,37.491985,126.74383,837937,경기도부천시
소사역곡점,경기도 부천시 원미구 부일로 556 (소사동),경기도,부천시,37.484343,126.791853,837937,경기도부천시
중동점,경기도 부천시 원미구 길주로 352 (중동),경기도,부천시,37.50225,126.781601,837937,경기도부천시
미금오리점,"경기 성남시 분당구 성남대로 52 (103호, 104호)",경기도,성남시,37.3404501,127.1094051,949316,경기도성남시
서현점,"경기도 성남시 분당구 서현로 377, 거송빌딩 1층 (서현동)",경기도,성남시,37.3766178,127.13977659999998,949316,경기도성남시
성남상대원점,경기도 성남시 중원구 금상로 27,경기도,성남시,37.4385073,127.1601405,949316,경기도성남시
성남수진점,경기도 성남시 중원구 산성대로 200 (성남동),경기도,성남시,37.4369423,127.1407449,949316,경기도성남시
성남태평점,"경기도 성남시 수정구 성남대로 1276, 1층 (태평동)",경기도,성남시,37.4436468,127.1274023,949316,경기도성남시
수내정자점,"경기도 성남시 분당구 내정로113번길 4, 정자프라자 107호 (정자동)",경기도,성남시,37.3706728,127.11484009999998,949316,경기도성남시
야탑점,경기도 성남시 분당구 매화로 43,경기도,성남시,37.4114859,127.1336136,949316,경기도성남시
이매점,"경기도 성남시 분당구 성남대로779번길 22 (이매동, 이매상가)",경기도,성남시,37.399449,127.1259487,949316,경기도성남시
판교점,"경기도 성남시 분당구 서판교로 160, 106~108호 (판교동, 스타식스밸리)",경기도,성남시,37.4002582,127.0948118,949316,경기도성남시
광교점,경기도 수원시 영통구 센트럴타운로 92 (이의동),경기도,수원시,37.29178510000001,127.0511528,1198461,경기도수원시
권선점,"경기도 수원시 권선구 권선로 746 (권선동, 효명빌딩)",경기도,수원시,37.257387,127.0325387,1198461,경기도수원시
남수원점,"경기도 수원시 권선구 경수대로 349, 1층 (권선동)",경기도,수원시,37.2579266,127.0223398,1198461,경기도수원시
동수원점,경기도 수원시 팔달구 세지로 394(우만동),경기도,수원시,37.2848574,127.0284261,1198461,경기도수원시
북수원점,"경기도 수원시 장안구 송원로 8 (송죽동, 웰가아파트)",경기도,수원시,37.2963865,127.0051373,1198461,경기도수원시
서수원점,경기도 수원시 권선구 금호로 190-1 (탑동),경기도,수원시,37.27425510000001,126.9709086,1198461,경기도수원시
성균관대 자과캠(수원점),"경기도 수원시 장안구 서부로 2066, 신관기숙사B동",경기도,수원시,37.2933638,126.9746545,1198461,경기도수원시
수원삼성점,"경기도 수원시 영통구 삼성로 129, I-14호 (매탄동, 삼성전자)",경기도,수원시,37.2579356,127.0531939,1198461,경기도수원시
수원중앙점,"경기도 수원시 팔달구 매산로 46, 1층 (매산로2가)",경기도,수원시,37.268356,127.0063261,1198461,경기도수원시
신영통점,경기도 수원시 영통구 영통로112번길 30 (망포동),경기도,수원시,37.2392652,127.0566059,1198461,경기도수원시
