store,address,lng,lat,city,district,city_district
성수점,서울 성동구 성수동2가 289-5,127.05743290000001,37.5477206,서울특별시,성동구,서울특별시성동구
성신여대본점,서울 성북구 동선동1가 85-80번지,127.0179229,37.592257200000006,서울특별시,성북구,서울특별시성북구
송파사거리점,서울 송파구 송파동 96-3,127.1099267,37.502734600000004,서울특별시,송파구,서울특별시송파구
수락산역점,서울 노원구 상계1동 1118-97번지,127.0548272,37.6772463,서울특별시,노원구,서울특별시노원구
수서일원점,서울 강남구 일원동 685-6호 1층,127.08217479999999,37.4896399,서울특별시,강남구,서울특별시강남구
수유리2호점,서울 강북구 수유동 322-13,127.0155595,37.6459781,서울특별시,강북구,서울특별시강북구
숙대역2호점,서울 용산구 남영동 78-1,126.9729422,37.5427766,서울특별시,용산구,서울특별시용산구
시흥2호점,서울 금천구 시흥동 838-33,126.9057929,37.452610899999996,서울특별시,금천구,서울특별시금천구
신구로점,서울 구로구 구로동 97-3 1층,126.89168090000001,37.496370899999995,서울특별시,구로구,서울특별시구로구
신림2호점,서울 관악구 신림2동 116-21호,126.93453319999999,37.471791499999995,서울특별시,관악구,서울특별시관악구
신림본점,서울 관악구 신림동 1416-1,126.93178600000002,37.4873655,서울특별시,관악구,서울특별시관악구
신반포점,서울 서초구 잠원동 50-6,127.01469440000001,37.5152636,서울특별시,서초구,서울특별시서초구
신수점,서울 마포구 구수동 57-3번지,126.9321994,37.545755,서울특별시,마포구,서울특별시마포구
신월점,"서울 양천구 신월동 501-10로즈가든101,102호",126.8510665,37.5225734,서울특별시,양천구,서울특별시양천구
쌍문2호점,서울 도봉구 창5동 700-33,127.037609,37.6527167,서울특별시,도봉구,서울특별시도봉구
암사점,서울 강동구 암사동 452,127.13589170000002,37.5545429,서울특별시,강동구,서울특별시강동구
압구정역,서울 강남구 신사동 577-7,127.02739220000001,37.5252803,서울특별시,강남구,서울특별시강남구
약수점,서울 중구 신당동 370-52,127.0119034,37.5575918,서울특별시,중구,서울특별시중구
양평점,서울 영등포구 당산동1가 53-4,126.8977189,37.5214425,서울특별시,영등포구,서울특별시영등포구
여의도중앙점,서울 영등포구 여의도동 53-12,126.93356259999999,37.5183996,서울특별시,영등포구,서울특별시영등포구
역삼본점,서울 강남구 역삼동 788-14,127.0410061,37.4928989,서울특별시,강남구,서울특별시강남구
연희본점,서울 서대문구 연희동 79-31,126.9351488,37.571836700000006,서울특별시,서대문구,서울특별시서대문구
염창2호점,서울 양천구 목3동 621-15번지,126.86324340000002,37.547035799999996,서울특별시,양천구,서울특별시양천구
오류점,서울 구로구 오류동 44-10,126.8410585,37.4944403,서울특별시,구로구,서울특별시구로구
오목교역2호점,서울 양천구 신정동 117-35,126.87441470000002,37.521864799999996,서울특별시,양천구,서울특별시양천구
왕십리행당점,서울 성동구 행당동 130-120,127.03847820000001,37.5581646,서울특별시,성동구,서울특별시성동구
외대2호점,서울 동대문구 이문2동 257 파크빌 101호,127.0621247,37.601434600000005,서울특별시,동대문구,서울특별시동대문구
월계2호점,서울 성북구 장위3동 165-3번지 1층,127.05155900000001,37.621872700000004,서울특별시,성북구,서울특별시성북구
응암2호점,서울 은평구 응암동 107-2,126.9205277,37.5974607,서울특별시,은평구,서울특별시은평구
이촌역점,서울 용산구 한강로3가 65-373,126.9684155,37.5240995,서울특별시,용산구,서울특별시용산구
잠실본점,서울 송파구 잠실동 175-9번지,127.0797243,37.5115104,서울특별시,송파구,서울특별시송파구
잠실야구장점,서울 송파구 잠실1동 10번지 종합운동장,127.0730045,37.516476700000005,서울특별시,송파구,서울특별시송파구
